title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
引地区集会所,呉市音戸町引地1丁目4-18,34.196099,132.535942,large,#FF0000,#FFFFFF,2
高須集会所,呉市音戸町高須2丁目3-44,34.1866461,132.5372038,large,#FF0000,#FFFFFF,2
先奥区自治会館,呉市音戸町先奥2丁目3-29,34.158159,132.521443,large,#FF0000,#FFFFFF,2
大浦崎会館（大浦崎スポーツセンター）,呉市音戸町波多見6丁目20-1,34.1746964,132.5549948,large,#FF0000,#FFFFFF,2
坪井区自治会館,呉市音戸町坪井2丁目7-11,34.198276,132.532866,large,#FF0000,#FFFFFF,2
田原保健福祉活動センター,呉市音戸町田原2丁目3-16,34.17566613,132.4987382,large,#FF0000,#FFFFFF,2
渡子区自治会館（旧渡子小学校）,呉市音戸町渡子2丁目23-1,34.19025729,132.513155,large,#FF0000,#FFFFFF,2
藤脇憩いの家,呉市音戸町藤脇2丁目8-2,34.14731,132.505028,large,#FF0000,#FFFFFF,2
南隠渡区集会所,呉市音戸町南隠渡1丁目4-26,34.188183,132.532153,large,#FF0000,#FFFFFF,2
波多見コミュニティセンター,呉市音戸町波多見2丁目17-1,34.183191,132.551599,large,#FF0000,#FFFFFF,2
畑区自治会館,呉市音戸町畑1丁目27-31,34.165452,132.530803,large,#FF0000,#FFFFFF,2
北隠渡区集会所,呉市音戸町北隠渡1丁目7-15,34.191469,132.532378,large,#FF0000,#FFFFFF,2
有清区自治会館,呉市音戸町有清1丁目23-26,34.162286,132.522443,large,#FF0000,#FFFFFF,2
倉橋まちづくりセンター釣士田分館,呉市倉橋町7529,34.145799,132.5098488,large,#FF0000,#FFFFFF,2
倉橋まちづくりセンター,呉市倉橋町431,34.1019201,132.5119768,large,#FF0000,#FFFFFF,2
倉橋小中学校,呉市倉橋町383-2,34.10229934,132.5146276,large,#FF0000,#FFFFFF,2
（旧）倉橋小学校,呉市倉橋町963,34.10576398,132.5068223,large,#FF0000,#FFFFFF,2
（旧）倉橋東小学校,呉市倉橋町11161-1,34.10018495,132.5404572,large,#FF0000,#FFFFFF,2
明徳小学校,呉市倉橋町7490,34.14633416,132.5085497,large,#FF0000,#FFFFFF,2
鹿島社会教育施設,呉市倉橋町18733,34.068824,132.531856,large,#FF0000,#FFFFFF,2
鹿老渡社会教育施設,呉市倉橋町16537,34.071368,132.551065,large,#FF0000,#FFFFFF,2
倉橋体育館,呉市倉橋町539-1,34.10281016,132.5119293,large,#FF0000,#FFFFFF,2
農業技術拠点センター,呉市倉橋町894,34.10495557,132.5058085,large,#FF0000,#FFFFFF,2
宇和木老人集会所,呉市倉橋町5921-2,34.12832289,132.4992022,large,#FF0000,#FFFFFF,2
海越生活改善センター,呉市倉橋町15101-2,34.087849,132.548949,large,#FF0000,#FFFFFF,2
才ノ木老人集会所,呉市倉橋町597-3,34.103522,132.509845,large,#FF0000,#FFFFFF,2
鹿島下老人集会所,呉市倉橋町乙17738,34.052181,132.522345,large,#FF0000,#FFFFFF,2
鹿島瀬戸コミュニティホーム,呉市倉橋町4279-11,34.108457,132.514383,large,#FF0000,#FFFFFF,2
鹿島中コミュニティホーム,呉市倉橋町18650-2,34.06620531,132.530458,large,#FF0000,#FFFFFF,2
鹿島中老人集会所,呉市倉橋町18320-2,34.05877489,132.5274754,large,#FF0000,#FFFFFF,2
重生コミュニティホーム,呉市倉橋町5345-20,34.11340346,132.461257,large,#FF0000,#FFFFFF,2
重生生活改善センター,呉市倉橋町5786-6,34.11960337,132.4746037,large,#FF0000,#FFFFFF,2
須川説教所,呉市倉橋町3296番地の2,34.09408,132.4883,large,#FF0000,#FFFFFF,2
西宇土老人集会所,呉市倉橋町3904-2,34.08827941,132.4718571,large,#FF0000,#FFFFFF,2
石原老人集会所,呉市倉橋町2390-8,34.10366744,132.502681,large,#FF0000,#FFFFFF,2
倉橋東センター,呉市倉橋町11959-25,34.09902,132.543914,large,#FF0000,#FFFFFF,2
大向老人集会所,呉市倉橋町4492-2,34.09304182,132.4586821,large,#FF0000,#FFFFFF,2
大迫コミュニティホーム,呉市倉橋町14105-10,34.116682,132.57122,large,#FF0000,#FFFFFF,2
長谷老人集会所,呉市倉橋町8191-1,34.14406104,132.5310373,large,#FF0000,#FFFFFF,2
灘コミュニティホーム,呉市倉橋町5869-1,34.126821,132.483823,large,#FF0000,#FFFFFF,2
尾曽郷老人集会所,呉市倉橋町2807-7,34.09293521,132.4918556,large,#FF0000,#FFFFFF,2
尾立生活改善センター,呉市倉橋町9964-7,34.103866,132.532936,large,#FF0000,#FFFFFF,2
蒲刈小学校,呉市蒲刈町向771,34.18569117,132.6919645,large,#FF0000,#FFFFFF,2
大浦集会所（旧蒲刈小学校）,呉市蒲刈町大浦5116,34.17942954,132.7538216,large,#FF0000,#FFFFFF,2
蒲刈市民センター,呉市蒲刈町宮盛1-2,34.19718588,132.7322191,large,#FF0000,#FFFFFF,2
